Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,No. of countries
28-03-2020,670723,31997,136800,501926,67657,3679,8292,4.77,20.4,23.39,176
29-03-2020,730300,35470,146261,548569,59577,3473,9461,4.86,20.03,24.25,176
30-03-2020,794939,39634,161707,593598,64639,4164,15446,4.99,20.34,24.51,177
31-03-2020,871355,44478,174074,652803,76416,4844,12367,5.1,19.98,25.55,179
01-04-2020,947569,50029,189434,708106,76214,5551,15360,5.28,19.99,26.41,179
02-04-2020,1028968,56334,206052,766582,81399,6305,16618,5.47,20.03,27.34,180
03-04-2020,1112123,62319,221060,828744,83155,5985,15008,5.6,19.88,28.19,180
04-04-2020,1192586,68160,241072,883354,80463,5841,20012,5.72,20.21,28.27,180
05-04-2020,1264304,73181,254477,936646,71718,5021,13405,5.79,20.13,28.76,182
06-04-2020,1336976,79013,270812,987151,72672,5832,16335,5.91,20.26,29.18,183
07-04-2020,1413849,86915,293665,1033269,76873,7902,22853,6.15,20.77,29.6,183
08-04-2020,1497624,93650,322017,1081957,83775,6735,28352,6.25,21.5,29.08,183
09-04-2020,1584249,101279,346349,1136621,86625,7629,24332,6.39,21.86,29.24,183
10-04-2020,1671907,108551,367477,1195879,87658,7272,21128,6.49,21.98,29.54,184
11-04-2020,1748872,114620,392991,1241261,76965,6069,25514,6.55,22.47,29.17,184
12-04-2020,1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22,184
13-04-2020,1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76,184
14-04-2020,1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72,184
15-04-2020,2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32,184
16-04-2020,2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09,184
17-04-2020,2250439,157481,554287,1538671,87724,8890,25272,7,24.63,28.41,184
18-04-2020,2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38,184
19-04-2020,2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69,184
20-04-2020,2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62,184
21-04-2020,2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28,184
22-04-2020,2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1,184
23-04-2020,2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98,184
24-04-2020,2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11,184
25-04-2020,2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93,184
26-04-2020,2964146,210862,825969,1927315,72948,3883,27730,7.11,27.87,25.53,184
27-04-2020,3032850,215511,852382,1964957,68704,4649,26413,7.11,28.1,25.28,184
28-04-2020,3108149,221974,884680,2001495,75404,6463,32298,7.14,28.46,25.09,184
29-04-2020,3185195,228742,925752,2030701,79558,6768,41072,7.18,29.06,24.71,184
