Date,TotalConfirmed,TotalDeaths,TotalRecovered,Active,New cases,New deaths,New recovered,DeathRate,RecoveryRate,MortalityRate
2020-04-12,1845653,120351,411864,1313438,96802,5731,18873,6.52,22.32,29.22
2020-04-13,1915247,126098,438395,1350754,69594,5747,26531,6.58,22.89,28.76
2020-04-14,1985174,132996,463014,1389164,69927,6898,24619,6.7,23.32,28.72
2020-04-15,2066003,141308,498925,1425770,80829,8312,35911,6.84,24.15,28.32
2020-04-16,2162715,148591,529015,1485109,96712,7283,30090,6.87,24.46,28.09
2020-04-17,2250439,157481,554287,1538671,87724,8890,25272,7.0,24.63,28.41
2020-04-18,2324396,163952,577789,1582655,73958,6471,23502,7.05,24.86,28.38
2020-04-19,2404919,168522,608557,1627840,80523,4570,30768,7.01,25.3,27.69
2020-04-20,2478258,173965,629862,1674431,73339,5443,21305,7.02,25.42,27.62
2020-04-21,2553508,181122,664043,1708343,75250,7157,34181,7.09,26.01,27.28
2020-04-22,2630314,187877,693207,1749230,78994,6755,29164,7.14,26.35,27.1
2020-04-23,2719327,194727,721689,1802911,89013,6850,28482,7.16,26.54,26.98
2020-04-24,2806267,201401,771329,1833537,96974,6674,49640,7.18,27.49,26.11
2020-04-25,2891199,206979,798239,1885981,84932,5578,26910,7.16,27.61,25.93
2020-04-26,2964146,210862,825969,1927315,72948,3883,27730,7.11,27.87,25.53
2020-04-27,3032850,215511,852382,1964957,68704,4649,26413,7.11,28.1,25.28
2020-04-28,3108149,221974,884680,2001495,75404,6463,32298,7.14,28.46,25.09
2020-04-29,3185195,228742,925752,2030701,79558,6768,41072,7.18,29.06,24.71
